graph,t,r,round,active,new,new_local,new_global,new_both
T=0.01,0.01,30,0,1,1,1,0,0
T=0.01,0.01,30,1,5,4,4,0,0
T=0.01,0.01,30,2,13,8,8,0,0
T=0.01,0.01,30,3,25,12,12,0,0
T=0.01,0.01,30,4,41,16,16,0,0
T=0.01,0.01,30,5,61,20,20,0,0
T=0.01,0.01,30,6,85,24,24,0,0
T=0.01,0.01,30,7,113,28,28,0,0
T=0.01,0.01,30,8,145,32,32,0,0
T=0.01,0.01,30,9,181,36,36,0,0
T=0.01,0.01,30,10,221,40,40,0,0
T=0.01,0.01,30,11,265,44,44,0,0
T=0.01,0.01,30,12,313,48,48,0,0
T=0.01,0.01,30,13,365,52,52,0,0
T=0.01,0.01,30,14,421,56,56,0,0
T=0.01,0.01,30,15,481,60,60,0,0
T=0.01,0.01,30,16,545,64,64,0,0
T=0.01,0.01,30,17,613,68,68,0,0
T=0.01,0.01,30,18,685,72,72,0,0
T=0.01,0.01,30,19,761,76,76,0,0
T=0.01,0.01,30,20,841,80,80,0,0
T=0.01,0.01,30,21,925,84,84,0,0
T=0.01,0.01,30,22,1013,88,88,0,0
T=0.01,0.01,30,23,1105,92,92,0,0
T=0.01,0.01,30,24,1201,96,96,0,0
T=0.01,0.01,30,25,1301,100,100,0,0
T=0.01,0.01,30,26,1405,104,104,0,0
T=0.01,0.01,30,27,1513,108,108,0,0
T=0.01,0.01,30,28,1625,112,112,0,0
T=0.01,0.01,30,29,1741,116,116,0,0
T=0.01,0.01,30,30,1861,120,120,0,0
T=0.01,0.01,30,31,1985,124,124,0,0
T=0.01,0.01,30,32,2113,128,128,0,0
T=0.01,0.01,30,33,2245,132,132,0,0
T=0.01,0.01,30,34,2381,136,136,0,0
T=0.01,0.01,30,35,2521,140,140,0,0
T=0.01,0.01,30,36,2665,144,144,0,0
T=0.01,0.01,30,37,2813,148,148,0,0
T=0.01,0.01,30,38,2965,152,152,0,0
T=0.01,0.01,30,39,3121,156,156,0,0
T=0.01,0.01,30,40,3281,160,160,0,0
T=0.01,0.01,30,41,3445,164,164,0,0
T=0.01,0.01,30,42,3613,168,168,0,0
T=0.01,0.01,30,43,3785,172,172,0,0
T=0.01,0.01,30,44,3961,176,176,0,0
T=0.01,0.01,30,45,4141,180,180,0,0
T=0.01,0.01,30,46,4325,184,184,0,0
T=0.01,0.01,30,47,4513,188,188,0,0
T=0.01,0.01,30,48,4705,192,192,0,0
T=0.01,0.01,30,49,4901,196,196,0,0
T=0.01,0.01,30,50,5101,200,200,0,0
T=0.01,0.01,30,51,5305,204,204,0,0
T=0.01,0.01,30,52,5513,208,208,0,0
T=0.01,0.01,30,53,5725,212,212,0,0
T=0.01,0.01,30,54,5941,216,216,0,0
T=0.01,0.01,30,55,6161,220,220,0,0
T=0.01,0.01,30,56,6385,224,224,0,0
T=0.01,0.01,30,57,6613,228,228,0,0
T=0.01,0.01,30,58,6845,232,232,0,0
T=0.01,0.01,30,59,7081,236,236,0,0
T=0.01,0.01,30,60,7321,240,240,0,0
T=0.01,0.01,30,61,7566,245,244,1,0
T=0.01,0.01,30,62,7819,253,252,1,0
T=0.01,0.01,30,63,8083,264,264,0,0
T=0.01,0.01,30,64,8360,277,276,1,0
T=0.01,0.01,30,65,8653,293,292,1,0
T=0.01,0.01,30,66,8966,313,312,1,0
T=0.01,0.01,30,67,9302,336,336,0,0
T=0.01,0.01,30,68,9662,360,360,0,0
T=0.01,0.01,30,69,10048,386,384,2,0
T=0.01,0.01,30,70,10464,416,416,0,0
T=0.01,0.01,30,71,10912,448,448,0,0
T=0.01,0.01,30,72,11393,481,480,1,0
T=0.01,0.01,30,73,11913,520,516,4,0
T=0.01,0.01,30,74,12485,572,568,4,0
T=0.01,0.01,30,75,13122,637,636,1,0
T=0.01,0.01,30,76,13834,712,708,4,0
T=0.01,0.01,30,77,14635,801,796,5,0
T=0.01,0.01,30,78,15545,910,904,6,0
